游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Ghostship Aftermath,¥ 37.00,39%,74,11.3h,第一人称射击
GhostControl Inc.,¥ 72.00,69%,146,4.0h,战术
Dark Shadows - Army of Evil,¥ 30.00,36%,93,6.8h,第一人称射击
Danmaku Unlimited 2,¥ 21.00,92%,355,3.9h,射击
Desert Gunner,¥ 15.00,38%,55,3.5h,"第一人称射击, 射击"
UberSoldier II 狼穴尖兵2,¥ 36.00,77%,522,4.2h,"第一人称射击, 射击"
Homeworld: Deserts of Kharak,¥ 51.25,79%,"7,681",12.6h,战术
RefleX,¥ 33.00,93%,115,3.1h,射击
Splatter - Zombiecalypse Now,¥ 28.00,89%,"2,077",5.5h,射击
The Banner Saga 2,¥ 85.00,89%,"3,139",9.8h,战术
Sid Meier's Starships,¥ 49.00,49%,"1,952",7.0h,战术
Quake Live,¥ 41.00,88%,"4,232",15.3h,"第一人称射击, 射击"
Warring States,¥ 67.00,75%,66,4.8h,战术
House of the Dying Sun,¥ 68.00,89%,"1,900",2.9h,"射击, 战术"
Nosferatu: The Wrath of Malachi,¥ 3.75,90%,"1,526",3.3h,"第一人称射击, 射击"
Jagged Alliance 1: Gold Edition,¥ 36.00,94%,162,73.0h,战术
Incoming + Incoming Forces,¥ 3.75,76%,80,4.4h,"射击, 第一人称射击"
Marine Sharpshooter II: Jungle Warfare,¥ 3.75,51%,74,6.5h,"第一人称射击, 射击"
CT Special Forces: Fire for Effect,¥ 3.75,62%,107,6.3h,"射击, 第三人称射击"
Astebreed: Definitive Edition,¥ 70.00,88%,"1,250",5.4h,射击
Antinarkomania,免费开玩,80%,51,12.3h,战术
ALLTYNEX Second,¥ 33.00,85%,88,4.9h,射击
神威,¥ 33.00,92%,144,3.8h,射击
Lost Squad,¥ 0.00,,,,"第一人称射击, 射击"
DeadCore,¥ 62.00,85%,"1,584",3.5h,"第一人称射击, 射击"
Purgatory: War of the Damned,¥ 48.00,3 篇用户评测,3,5.7h,第一人称射击
Project Root,¥ 36.00,45%,57,8.6h,射击
Solarix,¥ 68.00,60%,215,9.7h,"第一人称射击, 射击"
"Warhammer 40,000: Dawn of War III",¥ 178.00,50%,"14,056",17.7h,战术
Hard Truck Apocalypse / Ex Machina,¥ 33.00,83%,"2,375",10.5h,射击
Sledgehammer / Gear Grinder,¥ 33.00,81%,140,4.1h,射击
Galactic Command Echo Squad SE,¥ 42.00,3 篇用户评测,3,3.5h,"射击, 第一人称射击"
Braveland,¥ 42.00,80%,"1,182",6.4h,战术
Enemy Mind,¥ 35.00,81%,104,3.5h,射击
Kromaia,¥ 6.30,80%,45,4.3h,射击
Dead Effect,¥ 22.00,73%,"2,914",6.8h,"第一人称射击, 射击"
Steel Armor: Blaze of War,¥ 88.00,83%,340,8.5h,战术
Metro 2033 Redux,¥ 98.00,91%,"87,976",9.0h,"第一人称射击, 射击"
Falcon A.T.,¥ 72.00,40%,15,4.0h,"第一人称射击, 射击"
Shadow Ops: Red Mercury,¥ 28.00,76%,215,30.6h,"第一人称射击, 射击"
Chaos Domain,¥ 15.00,21%,37,6.5h,射击
Resident Evil Revelations 2,¥ 323.50,78%,"24,421",13.4h,"第三人称射击, 射击"
Metro: Last Light Redux,¥ 98.00,91%,"66,142",12.6h,"第一人称射击, 射击"
Mortal Online,免费开玩,52%,"2,957",25.3h,第一人称射击
"Guns, Gore and Cannoli 2",¥ 43.00,94%,"4,592",6.7h,射击
Bullets And More VR - BAM VR,¥ 37.00,88%,485,6.3h,射击
Sky Sanctuary,¥ 15.00,87%,32,3.7h,第一人称射击
Captain Kaon,¥ 28.00,90%,10,3.9h,射击
What The Box?,¥ 21.00,81%,581,1.9h,第一人称射击
Donuts'n'Justice,¥ 22.00,79%,108,6.9h,射击
