游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Creativerse,¥ 80.00,77%,"2,635",11.4h,建造
GhostControl Inc.,¥ 72.00,69%,146,4.0h,模拟
Crea,¥ 48.00,73%,"1,083",12.1h,建造
Fiesta Online NA,免费开玩,62%,788,18.1h,模拟
US and THEM,¥ 15.00,36%,76,3.7h,模拟
Wings Over Europe,¥ 36.00,57%,114,3.7h,模拟
Stellaris,¥ 168.00,86%,"136,049",98.0h,模拟
MX vs. ATV Supercross Encore,¥ 83.00,62%,624,17.6h,模拟
This War of Mine,¥ 76.00,93%,"80,926",15.6h,模拟
SuperPower 2 Steam Edition,¥ 36.00,78%,"2,491",30.2h,模拟
RollerCoaster Tycoon World™,¥ 12.00,25%,"3,214",10.2h,"模拟, 建造"
The Battle of Sol,¥ 36.00,58%,63,3.3h,模拟
Masterspace,¥ 22.00,27%,128,4.0h,模拟
Super Chibi Knight,¥ 25.00,87%,400,4.6h,模拟
House of the Dying Sun,¥ 68.00,89%,"1,900",2.9h,模拟
Eurofighter Typhoon,¥ 3.75,35%,73,8.9h,模拟
Munich Bus Simulator,¥ 58.00,60%,320,,模拟
New York Bus Simulator,¥ 42.00,50%,99,4.9h,模拟
World of Subways 2 – Berlin Line 7,¥ 58.00,75%,298,5.7h,模拟
Unclaimed World,¥ 66.00,50%,176,6.5h,模拟
BeamNG.drive,¥ 68.00,97%,"357,273",65.3h,模拟
Pixel Puzzles: Japan,免费,81%,"2,659",7.8h,模拟
Pixel Puzzles: UndeadZ,¥ 14.00,72%,919,6.5h,模拟
GearCity,¥ 70.00,89%,"1,377",35.0h,"模拟, 建造"
Battleplan: American Civil War,¥ 36.00,60%,71,5.0h,模拟
RollerCoaster Tycoon® 2: Triple Thrill Pack,¥ 9.00,89%,"4,926",11.6h,"模拟, 建造"
RollerCoaster Tycoon®: Deluxe,¥ 5.00,94%,"7,189",13.5h,"模拟, 建造"
On The Road - The Truck Simulator,¥ 108.00,50%,921,15.3h,模拟
Galactic Command Echo Squad SE,¥ 42.00,3 篇用户评测,3,3.5h,模拟
Kitty Powers' Matchmaker,¥ 36.00,96%,"1,724",10.6h,模拟
TerraTech,¥ 80.00,92%,"20,086",40.4h,建造
Tabletop Simulator,¥ 76.00,95%,"45,518",36.2h,模拟
Dog Sled Saga,¥ 33.00,94%,649,4.7h,模拟
Steel Armor: Blaze of War,¥ 88.00,83%,340,8.5h,模拟
Gunship!,¥ 25.00,50%,58,6.3h,模拟
Zoo Empire,¥ 28.00,73%,137,4.5h,模拟
Falcon A.T.,¥ 72.00,40%,15,4.0h,模拟
Wildlife Park 3,¥ 36.00,62%,376,7.7h,"模拟, 建造"
Autocraft,¥ 42.00,51%,247,6.0h,"模拟, 建造"
Rise of Nations: Extended Edition,¥ 68.00,94%,"13,033",23.9h,"模拟, 建造"
Pandora: First Contact,¥ 108.00,62%,532,17.3h,模拟
Sunset,¥ 68.00,66%,153,7.9h,模拟
Pro Pinball Ultra,¥ 48.00,81%,279,8.9h,模拟
Mini Metro,¥ 36.00,95%,"12,471",9.7h,"模拟, 建造"
Hidden Through Time,¥ 32.00,93%,"2,756",5.3h,建造
Artisan: Going Home Again,¥ 55.00,100%,12,7.5h,模拟
The Race for the White House 2016,¥ 48.00,44%,25,5.2h,模拟
Thick Air,Play Demo,40%,20,0.9h,模拟
Deisim,¥ 17.40,93%,820,3.4h,"疫病爆发模拟, 建造, 模拟"
Birthdays the Beginning,¥ 70.00,63%,880,7.8h,模拟
Pro Cycling Manager 2017,¥ 4.00,68%,319,54.5h,模拟
Very Real Chess,¥ 6.00,4 篇用户评测,4,4.5h,模拟
Hack Time,免费开玩,28%,14,19.4h,"模拟, 黑客"
The Wild Eight,¥ 92.00,71%,"5,920",9.0h,模拟
OFF GRID : Stealth Hacking,¥ 0.00,,,,黑客
hack_me,¥ 26.00,68%,"1,452",12.1h,"模拟, 黑客"
幸福工厂,¥ 136.00,97%,"224,003",71.5h,"建造, 模拟"
VilleTown,¥ 21.00,9 篇用户评测,9,2.5h,模拟
Fair Islands VR,¥ 36.00,5 篇用户评测,5,1.3h,模拟
Cmoar VR Cinema,¥ 36.00,59%,207,,模拟
Bubble Labs VR,¥ 19.94,75%,12,3.9h,模拟
Cockroach Simulator,¥ 15.00,79%,"2,363",3.5h,模拟
The Legions of Rome,¥ 15.00,31%,45,3.1h,模拟
PITCH-HIT ARCADE,¥ 37.00,76%,21,1.2h,模拟
Crown Champion: Legends of the Arena,¥ 22.00,83%,201,6.0h,建造
Shop-n-Spree: Shopping Paradise,¥ 42.00,81%,11,3.6h,模拟
Farm Tribe 2,¥ 42.00,90%,21,93.4h,模拟
Spa Mania 2,¥ 42.00,6 篇用户评测,6,4.3h,模拟
Destroyer,¥ 42.00,9 篇用户评测,9,2.7h,模拟
Solitaire Beach Season,¥ 58.00,76%,86,5.7h,模拟
Tennis Elbow Manager,¥ 33.00,80%,25,30.9h,模拟
Carpe Deal 'Em,¥ 22.00,8 篇用户评测,8,3.5h,模拟
Rogalia,免费开玩,70%,533,34.9h,建造
Rugby Union Team Manager 2017,¥ 136.00,49%,93,77.2h,模拟
Operation: New Earth,¥ 0.00,60%,819,26.1h,模拟
Multirotor Sim 2,¥ 22.00,46%,13,0.8h,模拟
Proxy - Ultimate Hacker,¥ 31.00,91%,12,5.2h,"模拟, 黑客"
Virtual-O,¥ 199.00,87%,133,41.4h,模拟
Space Simulator,¥ 37.00,37%,157,6.2h,模拟
