游戏名称,价格,好评率,好评人数,平均游玩时长,标签
KRUNCH,¥ 0.00,8 篇用户评测,8,2.7h,竞速
Mashed,¥ 21.00,81%,475,4.8h,竞速
Carmageddon Max Pack,¥ 36.00,85%,678,4.7h,竞速
Carmageddon 2: Carpocalypse Now,¥ 36.00,86%,552,5.3h,"竞速, 汽车模拟"
MX vs. ATV Supercross Encore,¥ 83.00,62%,624,17.6h,"竞速, 摩托车越野"
Munich Bus Simulator,¥ 58.00,60%,320,,汽车模拟
New York Bus Simulator,¥ 42.00,50%,99,4.9h,汽车模拟
World of Subways 2 – Berlin Line 7,¥ 58.00,75%,298,5.7h,汽车模拟
BeamNG.drive,¥ 68.00,97%,"357,273",65.3h,"汽车模拟, 竞速"
Speed Kills,¥ 15.00,48%,64,6.4h,竞速
GearCity,¥ 70.00,89%,"1,377",35.0h,"汽车模拟, 竞速"
On The Road - The Truck Simulator,¥ 108.00,50%,921,15.3h,"汽车模拟, 竞速"
Hard Truck Apocalypse / Ex Machina,¥ 33.00,83%,"2,375",10.5h,"汽车模拟, 竞速"
Sledgehammer / Gear Grinder,¥ 33.00,81%,140,4.1h,竞速
Action Henk,¥ 48.00,92%,293,5.5h,竞速
Dog Sled Saga,¥ 33.00,94%,649,4.7h,竞速
Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,¥ 26.00,73%,734,5.9h,"汽车模拟, 竞速"
Hard Truck Apocalypse: Arcade / Ex Machina: Arcade,¥ 22.00,32%,224,4.9h,"汽车模拟, 竞速"
梦幻遥控车(Re-Volt),¥ 39.00,91%,"1,291",3.7h,竞速
Thick Air,Play Demo,40%,20,0.9h,竞速
汐,¥ 38.00,79%,"1,261",9.4h,竞速
Awesome Obstacle Challenge,¥ 31.00,9 篇用户评测,9,1.2h,竞速
Pro Cycling Manager 2017,¥ 4.00,68%,319,54.5h,骑车
Multirotor Sim 2,¥ 22.00,46%,13,0.8h,竞速
Beat Or Die The MiniGames,¥ 11.00,1 篇用户评测,1,4.8h,竞速
Car Mechanic Simulator 2021,Car Mechanic Simulator 2021 Demo,95%,"34,243",23.0h,"汽车模拟, 竞速"
Race Race Racer,¥ 6.00,79%,29,1.8h,竞速
胶囊人,¥ 0.00,,,,竞速
Bus World,¥ 68.00,72%,"1,755",5.0h,"汽车模拟, 竞速"
剑物语,¥ 27.00,2 篇用户评测,2,0.9h,竞速
Minit Fun Racer,¥ 15.00,96%,247,6.9h,"竞速, 汽车模拟, 摩托车越野"
Hover Ship,¥ 6.00,1 篇用户评测,1,2.1h,竞速
循环世界,免费开玩,68%,22,5.0h,竞速
Asteroids Belt: Try to Survive!,¥ 6.00,91%,24,2.3h,竞速
The Ramp,¥ 26.00,95%,"1,094",2.2h,自行车越野
Race - Total Toon Race,¥ 11.00,1 篇用户评测,1,1.9h,"竞速, 汽车模拟"
My Garage,¥ 92.00,91%,"3,682",62.9h,"汽车模拟, 竞速"
Trolley Simulator,¥ 0.00,,,,"竞速, 汽车模拟"
三元方块,¥ 11.00,无用户评测,,2.0h,竞速
Descent Vector: Space Runner,¥ 22.00,6 篇用户评测,6,1.6h,竞速
Dark Runner,¥ 22.00,1 篇用户评测,1,0.7h,竞速
