游戏名称,价格,好评率,好评人数,平均游玩时长,标签
GhostControl Inc.,¥ 72.00,69%,146,4.0h,策略
Imagine Earth,¥ 92.00,79%,802,7.0h,"即时战略, 策略"
Battlepillars Gold Edition,¥ 21.00,84%,224,5.3h,"策略, 塔防"
O.R.B: Off-World Resource Base,¥ 18.00,77%,99,5.9h,"策略, 即时战略"
US and THEM,¥ 15.00,36%,76,3.7h,策略
Ascension to the Throne: Valkyrie,¥ 22.00,90%,75,9.2h,策略
Disciples Sacred Lands Gold,¥ 22.00,86%,365,11.1h,策略
Homeworld: Deserts of Kharak,¥ 51.25,79%,"7,681",12.6h,"策略, 即时战略"
The Banner Saga 2,¥ 85.00,89%,"3,139",9.8h,策略
Stellaris,¥ 168.00,86%,"136,049",98.0h,"策略, 4X"
This War of Mine,¥ 76.00,93%,"80,926",15.6h,策略
Sid Meier's Starships,¥ 49.00,49%,"1,952",7.0h,"策略, 4X"
SuperPower 2 Steam Edition,¥ 36.00,78%,"2,491",30.2h,"策略, 即时战略"
RollerCoaster Tycoon World™,¥ 12.00,25%,"3,214",10.2h,策略
Star Ruler 2,¥ 70.00,81%,660,13.9h,"策略, 4X, 即时战略"
Warring States,¥ 67.00,75%,66,4.8h,策略
FaeVerse Alchemy,¥ 26.00,57%,107,19.0h,策略
Hyperdimension Neptunia Re;Birth1,¥ 58.00,94%,"10,086",30.2h,策略
100% Orange Juice,¥ 29.00,93%,"14,696",18.2h,"策略, 卡牌游戏"
Strategic War in Europe,¥ 26.00,52%,100,6.3h,策略
The Campaign Series: Fall Weiss,¥ 26.00,54%,59,4.7h,策略
House of the Dying Sun,¥ 68.00,89%,"1,900",2.9h,策略
Jagged Alliance 1: Gold Edition,¥ 36.00,94%,162,73.0h,策略
Unclaimed World,¥ 66.00,50%,176,6.5h,策略
Pixel Puzzles: Japan,免费,81%,"2,659",7.8h,策略
Pixel Puzzles: UndeadZ,¥ 14.00,72%,919,6.5h,策略
Robowars,¥ 18.00,30%,20,3.9h,"塔防, 即时战略, 策略"
GearCity,¥ 70.00,89%,"1,377",35.0h,策略
Battleplan: American Civil War,¥ 36.00,60%,71,5.0h,策略
LEGO® The Hobbit™,¥ 68.00,79%,"4,878",10.3h,策略
"Warhammer 40,000: Dawn of War III",¥ 178.00,50%,"14,056",17.7h,"策略, 即时战略"
RollerCoaster Tycoon® 2: Triple Thrill Pack,¥ 9.00,89%,"4,926",11.6h,策略
RollerCoaster Tycoon®: Deluxe,¥ 5.00,94%,"7,189",13.5h,策略
Kingdom Elemental,¥ 15.00,9 篇用户评测,9,1.6h,策略
On The Road - The Truck Simulator,¥ 108.00,50%,921,15.3h,策略
The Entente Gold,¥ 5.50,47%,621,4.0h,"策略, 即时战略"
Galactic Command Echo Squad SE,¥ 42.00,3 篇用户评测,3,3.5h,策略
Braveland,¥ 42.00,80%,"1,182",6.4h,策略
TerraTech,¥ 80.00,92%,"20,086",40.4h,策略
Tooth and Tail,¥ 68.00,82%,"2,867",5.3h,"策略, 即时战略"
Tabletop Simulator,¥ 76.00,95%,"45,518",36.2h,"卡牌游戏, 策略"
ReignMaker,¥ 102.70,82%,50,8.0h,"策略, 塔防"
Steel Armor: Blaze of War,¥ 88.00,83%,340,8.5h,策略
Strata,¥ 32.00,92%,135,3.7h,策略
Viking Brothers,¥ 42.00,74%,35,6.9h,策略
Zoo Empire,¥ 28.00,73%,137,4.5h,策略
Battle Academy,¥ 100.80,84%,249,16.9h,策略
Wildlife Park 3,¥ 36.00,62%,376,7.7h,策略
COH 2 - The Western Front Armies: US Forces,¥ 13.00,63%,165,,"策略, 即时战略"
CoH 2 - The Western Front Armies: Oberkommando West,¥ 13.00,73%,196,,"策略, 即时战略"
Rise of Nations: Extended Edition,¥ 68.00,94%,"13,033",23.9h,"策略, 即时战略"
Pandora: First Contact,¥ 108.00,62%,532,17.3h,"策略, 4X"
Yomi,¥ 48.00,78%,145,18.2h,"策略, 卡牌游戏"
Mini Metro,¥ 36.00,95%,"12,471",9.7h,策略
The Race for the White House 2016,¥ 48.00,44%,25,5.2h,策略
Space Fuss,¥ 21.00,76%,82,4.1h,策略
Galaxy of Trian Board Game,¥ 21.00,4 篇用户评测,4,3.7h,策略
Octogeddon,¥ 38.00,92%,"1,224",12.0h,"策略, 塔防"
Deisim,¥ 17.40,93%,820,3.4h,策略
Very Real Chess,¥ 6.00,4 篇用户评测,4,4.5h,策略
Hack Time,免费开玩,28%,14,19.4h,策略
The Wild Eight,¥ 92.00,71%,"5,920",9.0h,策略
hack_me,¥ 26.00,68%,"1,452",12.1h,策略
The Gleam: VR Escape the Room,¥ 18.00,25%,39,3.9h,策略
幸福工厂,¥ 136.00,97%,"224,003",71.5h,策略
Chess Knight 2,¥ 15.00,59%,22,5.3h,策略
A Day in the Woods,¥ 21.00,95%,24,4.2h,策略
Armies of Riddle CLASSIC,¥ 6.00,2 篇用户评测,2,6.7h,"策略, 卡牌游戏"
Janken Cards,¥ 15.00,7 篇用户评测,7,18.4h,策略
为了吾王 / For The King,¥ 70.00,87%,"30,583",21.8h,策略
VilleTown,¥ 21.00,9 篇用户评测,9,2.5h,策略
Defend the Highlands: World Tour,¥ 22.00,63%,11,12.8h,策略
Cockroach Simulator,¥ 15.00,79%,"2,363",3.5h,策略
The Legions of Rome,¥ 15.00,31%,45,3.1h,策略
PITCH-HIT ARCADE,¥ 37.00,76%,21,1.2h,策略
Keep Defending,¥ 15.00,87%,41,2.1h,塔防
War Cube,¥ 6.00,66%,60,4.0h,策略
Fractured State,¥ 6.00,5 篇用户评测,5,27.1h,"策略, 即时战略"
Gladiator Trainer,¥ 3.08,73%,242,5.7h,策略
