游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Creativerse,¥ 80.00,77%,"2,635",11.4h,角色扮演
BloodLust Shadowhunter,¥ 37.00,79%,338,6.5h,"角色扮演, 动作角色扮演"
Crea,¥ 48.00,73%,"1,083",12.1h,角色扮演
Dark Shadows - Army of Evil,¥ 30.00,36%,93,6.8h,"角色扮演, 动作角色扮演"
Fiesta Online NA,免费开玩,62%,788,18.1h,"角色扮演, 大型多人在线角色扮演"
Clans,¥ 15.00,60%,120,3.7h,角色扮演
Ascension to the Throne: Valkyrie,¥ 22.00,90%,75,9.2h,角色扮演
The Banner Saga 2,¥ 85.00,89%,"3,139",9.8h,角色扮演
Woolfe - The Red Hood Diaries,¥ 42.00,59%,975,4.0h,角色扮演
Fearless Fantasy,¥ 29.00,88%,111,10.0h,角色扮演
Masterspace,¥ 22.00,27%,128,4.0h,角色扮演
Hyperdimension Neptunia Re;Birth1,¥ 58.00,94%,"10,086",30.2h,角色扮演
Paper Dungeons,¥ 22.00,45%,24,6.5h,角色扮演
Lucent Heart,免费开玩,51%,353,13.2h,"角色扮演, 大型多人在线角色扮演"
Super Chibi Knight,¥ 25.00,87%,400,4.6h,"角色扮演, 动作角色扮演"
Jagged Alliance 1: Gold Edition,¥ 36.00,94%,162,73.0h,角色扮演
Soulbringer,¥ 3.75,73%,120,17.8h,角色扮演
Salt and Sanctuary,¥ 60.00,89%,"19,726",15.8h,"角色扮演, 动作角色扮演"
Heroine's Quest: The Herald of Ragnarok,免费开玩,87%,"1,405",15.5h,角色扮演
Majestic Nights,¥ 21.00,54%,53,3.2h,角色扮演
Cornerstone: The Song of Tyrim,¥ 68.00,66%,24,4.8h,动作角色扮演
Purgatory: War of the Damned,¥ 48.00,3 篇用户评测,3,5.7h,角色扮演
LEGO® The Hobbit™,¥ 68.00,79%,"4,878",10.3h,角色扮演
Deadly Sin 2,¥ 22.00,87%,56,4.2h,角色扮演
Hard Truck Apocalypse / Ex Machina,¥ 33.00,83%,"2,375",10.5h,角色扮演
Braveland,¥ 42.00,80%,"1,182",6.4h,策略角色扮演
QuestRun,¥ 15.00,37%,86,5.8h,角色扮演
Tabletop Simulator,¥ 76.00,95%,"45,518",36.2h,角色扮演
Pier Solar and the Great Architects,¥ 0.00,64%,77,4.7h,角色扮演
Dog Sled Saga,¥ 33.00,94%,649,4.7h,角色扮演
ReignMaker,¥ 102.70,82%,50,8.0h,角色扮演
Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,¥ 26.00,73%,734,5.9h,角色扮演
Hard Truck Apocalypse: Arcade / Ex Machina: Arcade,¥ 22.00,32%,224,4.9h,角色扮演
Crouching Pony Hidden Dragon,¥ 11.00,47%,21,1.2h,"角色扮演, 动作角色扮演"
Resident Evil Revelations 2,¥ 323.50,78%,"24,421",13.4h,动作角色扮演
The Council,免费,83%,"5,586",18.2h,角色扮演
Mortal Online,免费开玩,52%,"2,957",25.3h,"角色扮演, 大型多人在线角色扮演"
Alicemare,¥ 15.00,88%,"1,104",6.1h,角色扮演
Artisan: Going Home Again,¥ 55.00,100%,12,7.5h,角色扮演
Nock: Hidden Arrow,¥ 36.00,70%,24,4.7h,角色扮演
LOST SPHEAR,¥ 338.00,56%,163,10.3h,角色扮演
.hack//G.U. Last Recode,¥ 278.00,87%,"3,418",18.4h,"角色扮演, 动作角色扮演"
Deus Ex: Mankind Divided™ - VR Experience,免费开玩,49%,300,,角色扮演
"Project ""Fire""",免费开玩,76%,111,23.4h,角色扮演
The Wild Eight,¥ 92.00,71%,"5,920",9.0h,角色扮演
Armies of Riddle CLASSIC,¥ 6.00,2 篇用户评测,2,6.7h,角色扮演
为了吾王 / For The King,¥ 70.00,87%,"30,583",21.8h,"角色扮演, 策略角色扮演"
Nights of Azure,¥ 88.00,69%,627,28.5h,角色扮演
Atelier Firis: The Alchemist and the Mysterious Journey / フィリスのアトリエ ～不思議な旅の錬金術士～,¥ 177.00,82%,550,,角色扮演
"Warhammer 40,000: Inquisitor - Martyr",¥ 222.00,76%,"19,243",23.2h,"动作角色扮演, 角色扮演"
Keep Defending,¥ 15.00,87%,41,2.1h,角色扮演
Crown Champion: Legends of the Arena,¥ 22.00,83%,201,6.0h,角色扮演
Lifestream - A Haunting Text Adventure,¥ 15.00,100%,25,4.6h,角色扮演
Divergence: Year Zero,¥ 68.00,64%,14,3.3h,角色扮演
Gladiator Trainer,¥ 3.08,73%,242,5.7h,角色扮演
Solstice Chronicles: MIA,¥ 50.00,70%,240,7.6h,角色扮演
Rogalia,免费开玩,70%,533,34.9h,"角色扮演, 大型多人在线角色扮演"
Crypt of the Serpent King,¥ 3.08,81%,263,15.2h,"角色扮演, 动作角色扮演"
Eisenwald: Blood of November,¥ 34.00,54%,144,3.8h,"策略角色扮演, 角色扮演"
Birthright Cataclysm - Overture,免费开玩,84%,13,14.4h,"角色扮演, 动作角色扮演"
SOS Survival,¥ 42.00,55%,20,14.7h,角色扮演
Arakion: Book One,¥ 70.00,50%,22,1.6h,角色扮演
Violet Haunted,¥ 6.00,1 篇用户评测,1,15.7h,角色扮演
Expect The Unexpected,¥ 6.00,66%,69,4.2h,"角色扮演, 动作角色扮演"
