游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Dollhouse,¥ 58.00,51%,139,8.6h,解谜
Reversion - The Return (Last Chapter),¥ 42.00,84%,83,5.8h,"指向点击, 解谜"
Reversion - The Meeting (2nd Chapter),¥ 22.00,79%,121,4.3h,"指向点击, 解谜"
Real Horror Stories Ultimate Edition,¥ 11.00,37%,945,2.8h,指向点击
Adventure Chronicles: The Search For Lost Treasure,¥ 22.00,67%,79,7.8h,"隐藏物体, 指向点击"
A Boy and His Blob,¥ 36.00,83%,220,6.1h,解谜
D.W.A.R.F.S.,¥ 22.00,57%,14,2.3h,解谜
Munin,¥ 22.00,82%,805,8.1h,解谜
SOMA,¥ 108.00,95%,"44,593",8.2h,解谜
Circuits,¥ 21.00,89%,"1,679",4.5h,解谜
FaeVerse Alchemy,¥ 26.00,57%,107,19.0h,解谜
Paper Dungeons,¥ 22.00,45%,24,6.5h,解谜
The Samaritan Paradox,¥ 11.00,71%,159,4.6h,"指向点击, 解谜"
Litil Divil,¥ 3.75,80%,30,10.9h,解谜
The Secret Of Hildegards,¥ 15.00,15%,33,4.8h,"隐藏物体, 解谜"
Rabbit Hole 3D: Steam Edition,¥ 15.00,63%,154,5.0h,解谜
Heroine's Quest: The Herald of Ragnarok,免费开玩,87%,"1,405",15.5h,指向点击
Putt-Putt® Joins the Parade,¥ 28.00,96%,186,30.6h,指向点击
Freddi Fish and the Case of the Missing Kelp Seeds,¥ 28.00,97%,539,4.1h,指向点击
Pajama Sam: No Need to Hide When It's Dark Outside,¥ 28.00,97%,"1,039",9.7h,"指向点击, 解谜"
"Spy Fox in ""Dry Cereal""",¥ 28.00,96%,556,4.1h,"指向点击, 解谜"
Putt-Putt® and Pep's Balloon-o-Rama,¥ 21.00,84%,51,59.7h,指向点击
Freddi Fish and Luther's Maze Madness,¥ 21.00,87%,65,3.2h,"解谜, 指向点击"
Sanitarium,¥ 52.00,93%,"1,178",5.1h,"指向点击, 解谜"
Maize,¥ 42.00,88%,768,2.5h,"解谜, 指向点击, 隐藏物体"
Robot Rescue Revolution,¥ 22.00,6 篇用户评测,6,2.6h,解谜
The Last Door - Collector's Edition,¥ 36.00,95%,"1,813",4.1h,"指向点击, 解谜"
DeadCore,¥ 62.00,85%,"1,584",3.5h,解谜
Abyss: The Wraiths of Eden,¥ 58.00,89%,817,5.5h,"隐藏物体, 解谜, 指向点击"
Dark Arcana: The Carnival,¥ 58.00,87%,395,5.0h,"隐藏物体, 指向点击, 解谜"
Enigmatis: The Ghosts of Maple Creek,¥ 58.00,84%,"1,318",5.5h,"隐藏物体, 指向点击, 解谜"
Grim Legends: The Forsaken Bride,¥ 58.00,95%,"1,042",6.0h,"隐藏物体, 指向点击, 解谜"
9 Clues: The Secret of Serpent Creek,¥ 58.00,89%,685,5.0h,"隐藏物体, 指向点击, 解谜"
Left in the Dark: No One on Board,¥ 58.00,82%,474,4.1h,"隐藏物体, 解谜, 指向点击"
Pixel Puzzles: Japan,免费,81%,"2,659",7.8h,解谜
Enigmatis 2: The Mists of Ravenwood,¥ 58.00,97%,"1,080",5.6h,"隐藏物体, 解谜, 指向点击"
Clockwork Tales: Of Glass and Ink,¥ 58.00,90%,630,4.8h,"隐藏物体, 指向点击, 解谜"
Pixel Puzzles: UndeadZ,¥ 14.00,72%,919,6.5h,解谜
Between Me and The Night,¥ 22.00,66%,109,10.4h,"指向点击, 解谜"
LEGO® The Hobbit™,¥ 68.00,79%,"4,878",10.3h,解谜
ReignMaker,¥ 102.70,82%,50,8.0h,解谜
Oknytt,¥ 21.00,92%,410,4.8h,"指向点击, 解谜"
Algo Bot,¥ 37.00,82%,148,3.9h,解谜
Shadows on the Vatican - Act I: Greed,¥ 29.00,75%,184,4.8h,"指向点击, 解谜"
Black Mirror II,¥ 36.00,89%,577,11.9h,"指向点击, 解谜"
Strata,¥ 32.00,92%,135,3.7h,解谜
Black Mirror III,¥ 36.00,88%,427,11.7h,"指向点击, 解谜"
Nearwood - Collector's Edition,¥ 36.00,88%,231,4.5h,"隐藏物体, 解谜, 指向点击"
Harvester,¥ 25.00,91%,"1,353",4.0h,"指向点击, 解谜"
The Council,免费,83%,"5,586",18.2h,"解谜, 指向点击"
Nostradamus: The Last Prophecy,¥ 21.00,69%,155,17.9h,"指向点击, 解谜"
The Witch's Yarn,¥ 36.00,5 篇用户评测,5,2.6h,指向点击
Mini Metro,¥ 36.00,95%,"12,471",9.7h,解谜
Whispering Willows,¥ 35.00,81%,"1,223",4.2h,"解谜, 指向点击"
Alicemare,¥ 15.00,88%,"1,104",6.1h,解谜
Hidden Through Time,¥ 32.00,93%,"2,756",5.3h,"隐藏物体, 解谜, 指向点击"
King Oddball,¥ 22.00,93%,58,4.5h,解谜
