游戏名称,价格,好评率,好评人数,平均游玩时长,标签
GhostControl Inc.,¥ 72.00,69%,146,4.0h,休闲
Foosball - Street Edition,¥ 21.00,57%,102,2.0h,休闲
Dark Shadows - Army of Evil,¥ 30.00,36%,93,6.8h,休闲
Fiesta Online NA,免费开玩,62%,788,18.1h,休闲
Battlepillars Gold Edition,¥ 21.00,84%,224,5.3h,休闲
Reversion - The Return (Last Chapter),¥ 42.00,84%,83,5.8h,休闲
Reversion - The Meeting (2nd Chapter),¥ 22.00,79%,121,4.3h,休闲
Munin,¥ 22.00,82%,805,8.1h,休闲
Explodemon,¥ 34.00,65%,60,19.4h,休闲
Fearless Fantasy,¥ 29.00,88%,111,10.0h,休闲
Sid Meier's Starships,¥ 49.00,49%,"1,952",7.0h,休闲
RollerCoaster Tycoon World™,¥ 12.00,25%,"3,214",10.2h,休闲
Circuits,¥ 21.00,89%,"1,679",4.5h,休闲
FaeVerse Alchemy,¥ 26.00,57%,107,19.0h,"休闲, 三消"
Hyperdimension Neptunia Re;Birth1,¥ 58.00,94%,"10,086",30.2h,休闲
100% Orange Juice,¥ 29.00,93%,"14,696",18.2h,休闲
Lucent Heart,免费开玩,51%,353,13.2h,休闲
Super Chibi Knight,¥ 25.00,87%,400,4.6h,休闲
Spoiler Alert,¥ 15.00,77%,338,3.8h,休闲
The Secret Of Hildegards,¥ 15.00,15%,33,4.8h,休闲
Munich Bus Simulator,¥ 58.00,60%,320,,休闲
New York Bus Simulator,¥ 42.00,50%,99,4.9h,休闲
World of Subways 2 – Berlin Line 7,¥ 58.00,75%,298,5.7h,休闲
Rabbit Hole 3D: Steam Edition,¥ 15.00,63%,154,5.0h,休闲
Antinarkomania,免费开玩,80%,51,12.3h,休闲
Putt-Putt® Joins the Parade,¥ 28.00,96%,186,30.6h,休闲
Freddi Fish and the Case of the Missing Kelp Seeds,¥ 28.00,97%,539,4.1h,休闲
Pajama Sam: No Need to Hide When It's Dark Outside,¥ 28.00,97%,"1,039",9.7h,休闲
"Spy Fox in ""Dry Cereal""",¥ 28.00,96%,556,4.1h,休闲
Putt-Putt® and Pep's Balloon-o-Rama,¥ 21.00,84%,51,59.7h,休闲
Freddi Fish and Luther's Maze Madness,¥ 21.00,87%,65,3.2h,休闲
Robot Rescue Revolution,¥ 22.00,6 篇用户评测,6,2.6h,休闲
Abyss: The Wraiths of Eden,¥ 58.00,89%,817,5.5h,休闲
Dark Arcana: The Carnival,¥ 58.00,87%,395,5.0h,休闲
Enigmatis: The Ghosts of Maple Creek,¥ 58.00,84%,"1,318",5.5h,休闲
Grim Legends: The Forsaken Bride,¥ 58.00,95%,"1,042",6.0h,休闲
9 Clues: The Secret of Serpent Creek,¥ 58.00,89%,685,5.0h,休闲
Left in the Dark: No One on Board,¥ 58.00,82%,474,4.1h,休闲
Pixel Puzzles: Japan,免费,81%,"2,659",7.8h,休闲
