游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Foosball - Street Edition,¥ 21.00,57%,102,2.0h,"体育, 足球"
MX vs. ATV Supercross Encore,¥ 83.00,62%,624,17.6h,体育
IHF Handball Challenge 12,¥ 15.00,67%,64,5.2h,体育
Dog Sled Saga,¥ 33.00,94%,649,4.7h,体育
King Oddball,¥ 22.00,93%,58,4.5h,体育
Brawlderdash,¥ 11.00,2 篇用户评测,2,3.4h,体育
Awesome Obstacle Challenge,¥ 31.00,9 篇用户评测,9,1.2h,体育
Pro Cycling Manager 2017,¥ 4.00,68%,319,54.5h,体育
JUST BAT (VR CRICKET),¥ 6.00,76%,13,2.9h,体育
Very Real Chess,¥ 6.00,4 篇用户评测,4,4.5h,体育
Sky Sanctuary,¥ 15.00,87%,32,3.7h,体育
Boxing Saga,¥ 30.00,54%,24,2.9h,体育
Handball 17,¥ 37.00,70%,135,5.5h,体育
PITCH-HIT ARCADE,¥ 37.00,76%,21,1.2h,体育
Solitaire Beach Season,¥ 58.00,76%,86,5.7h,体育
Tennis Elbow Manager,¥ 33.00,80%,25,30.9h,"体育, 网球"
Rugby Union Team Manager 2017,¥ 136.00,49%,93,77.2h,体育
Multirotor Sim 2,¥ 22.00,46%,13,0.8h,体育
Golf Pro VR,¥ 68.00,6 篇用户评测,6,0.8h,体育
Basketball Babe,¥ 25.50,94%,19,3.0h,体育
Virtual-O,¥ 199.00,87%,133,41.4h,体育
Ulama: Arena of the Gods,¥ 21.00,3 篇用户评测,3,0.6h,体育
Behold the Kickmen,¥ 18.00,85%,374,3.8h,"体育, 足球"
Mutant Football League,Try it NOW! Dynasty DLC is FREE!,93%,683,12.8h,体育
Total Extreme Wrestling 2013,¥ 76.00,91%,74,43.4h,"体育, 摔角"
Street Hoop,¥ 22.00,86%,44,1.6h,"体育, 篮球"
奥力奥力世界,¥ 19.00,93%,883,4.6h,"体育, 滑板"
Cyber Fight Challenge,¥ 37.00,37%,45,1.3h,体育
TOTALLY BASEBALL,¥ 58.00,88%,150,7.0h,"体育, 棒球"
Bus World,¥ 68.00,72%,"1,755",5.0h,体育
Ping Pong Space - Retro Tennis,¥ 15.00,7 篇用户评测,7,1.5h,体育
Volleyball Fever Flat,¥ 15.00,3 篇用户评测,3,1.0h,体育
剑物语,¥ 27.00,2 篇用户评测,2,0.9h,体育
PePiBo: Peregrino Pinata Bowling,¥ 32.00,2 篇用户评测,2,,"体育, 保龄球"
Drunk Soccer is the Best Soccer,¥ 6.00,85%,40,1.2h,体育
Range is HOT!,¥ 90.00,75%,40,1.9h,体育
Anime Catgirl Runner,¥ 6.50,4 篇用户评测,4,1.7h,体育
Berzerk Flashback,¥ 10.85,93%,134,10.1h,体育
QFIELD,¥ 0.00,,,,体育
The Ramp,¥ 26.00,95%,"1,094",2.2h,"滑板, 体育, 滑行, 单板滑雪, 滑雪"
Battle Cube,¥ 6.00,74%,35,2.8h,体育
WaterPolo Inter Nation,¥ 0.00,,,,体育
Cannon Lab 13,¥ 6.00,3 篇用户评测,3,0.8h,体育
Race - Total Toon Race,¥ 11.00,1 篇用户评测,1,1.9h,体育
Aviano,¥ 26.00,6 篇用户评测,6,1.4h,体育
80s Volleyball,¥ 6.00,66%,12,0.7h,体育
Golfie,¥ 68.00,66%,269,3.0h,"迷你高尔夫, 体育, 高尔夫"
Disc Golf Valley VR,¥ 70.00,71%,73,5.1h,"体育, 高尔夫"
Ragdoll Funhouse,¥ 11.00,4 篇用户评测,4,0.8h,体育
Pets No More,¥ 22.00,52%,17,2.1h,"体育, 网球"
Online Retro Tennis,¥ 11.00,,,1.5h,"体育, 网球"
Wild Wild Chess,¥ 5.50,90%,21,23.6h,体育
Color Pixel Heroes,¥ 11.00,4 篇用户评测,4,16.2h,体育
Sphere Game Epic,¥ 3.08,9 篇用户评测,9,1.6h,保龄球
Cricket 22 - Academy Creation Tools,免费,47%,19,28.9h,体育
Dungeonball,¥ 11.00,90%,11,1.7h,体育
《极品飞车™：不羁》,¥ 248.00,61%,"46,714",22.9h,体育
RocketBallZ,¥ 0.00,,,,"体育, 网球"
Bounce Ball Blitz,免费开玩,7 篇用户评测,7,10.6h,"篮球, 体育"
A Story About Farting,¥ 6.05,86%,30,3.5h,体育
Chessium: 3D Chess Battle,¥ 0.00,,,,体育
Footy Bash,¥ 0.00,,,,体育
Yeah Wow Hey,¥ 29.99,7 篇用户评测,7,5.5h,体育
Chess of Mana,¥ 36.00,86%,15,0.5h,体育
My Fishing Desktop,¥ 15.00,2 篇用户评测,2,8.6h,体育
​VR拳击：冠军之路,¥ 88.90,无用户评测,,0.9h,体育
Risko,¥ 0.00,,,,体育
Plane Crazy Championship Edition,¥ 26.00,6 篇用户评测,6,5.0h,体育
Killer Aces Volleyball,¥ 0.00,,,,"体育, 排球"
Hunting Pro Simulator,¥ 0.00,,,,体育
Box Box Box!,¥ 0.00,,,,体育
Floorball League 2010,¥ 42.00,90%,74,3.5h,"体育, 冰球"
Padel Rivals,¥ 0.00,,,,"体育, 网球"
NGL Biathlon 2026,¥ 68.00,92%,167,25.4h,"体育, 滑雪"
哥是莽撞人,¥ 6.00,,,,体育
MechaCap Arena,¥ 33.00,6 篇用户评测,6,,体育
摸鱼弹珠,¥ 6.00,,,0.1h,体育
Virtuoso Skins Game,¥ 0.00,,,,"体育, 高尔夫, 迷你高尔夫"
Blik Ball,¥ 0.00,,,,"网球, 体育"
