游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Creativerse,¥ 80.00,77%,"2,635",11.4h,"探索, 冒险, 动作冒险, 开放世界"
Ghostship Aftermath,¥ 37.00,39%,74,11.3h,"恐怖, 冒险"
BloodLust Shadowhunter,¥ 37.00,79%,338,6.5h,恐怖
Dollhouse,¥ 58.00,51%,139,8.6h,"恐怖, 冒险"
Crea,¥ 48.00,73%,"1,083",12.1h,"冒险, 开放世界"
Dark Shadows - Army of Evil,¥ 30.00,36%,93,6.8h,"冒险, 恐怖"
Fiesta Online NA,免费开玩,62%,788,18.1h,冒险
Reversion - The Return (Last Chapter),¥ 42.00,84%,83,5.8h,"冒险, 探索"
BloodRayne Betrayal (Legacy),¥ 70.00,59%,639,6.1h,恐怖
Reversion - The Meeting (2nd Chapter),¥ 22.00,79%,121,4.3h,冒险
Real Horror Stories Ultimate Edition,¥ 11.00,37%,945,2.8h,"恐怖, 冒险"
Adventure Chronicles: The Search For Lost Treasure,¥ 22.00,67%,79,7.8h,冒险
Desert Gunner,¥ 15.00,38%,55,3.5h,步行模拟
A Boy and His Blob,¥ 36.00,83%,220,6.1h,冒险
UberSoldier II 狼穴尖兵2,¥ 36.00,77%,522,4.2h,冒险
D.W.A.R.F.S.,¥ 22.00,57%,14,2.3h,冒险
Ascension to the Throne: Valkyrie,¥ 22.00,90%,75,9.2h,冒险
Homeworld: Deserts of Kharak,¥ 51.25,79%,"7,681",12.6h,冒险
4PM,¥ 0.00,39%,123,2.9h,"步行模拟, 冒险"
Munin,¥ 22.00,82%,805,8.1h,冒险
Explodemon,¥ 34.00,65%,60,19.4h,冒险
Splatter - Zombiecalypse Now,¥ 28.00,89%,"2,077",5.5h,"冒险, 恐怖"
The Banner Saga 2,¥ 85.00,89%,"3,139",9.8h,冒险
Woolfe - The Red Hood Diaries,¥ 42.00,59%,975,4.0h,冒险
Stellaris,¥ 168.00,86%,"136,049",98.0h,探索
SOMA,¥ 108.00,95%,"44,593",8.2h,"恐怖, 探索, 冒险, 步行模拟"
Fearless Fantasy,¥ 29.00,88%,111,10.0h,"冒险, 恐怖"
Castlevania: Lords of Shadow – Mirror of Fate HD,¥ 48.00,84%,"2,087",7.1h,"冒险, 恐怖"
