游戏名称,价格,好评率,好评人数,平均游玩时长,标签
KRUNCH,¥ 0.00,8 篇用户评测,8,2.7h,动作
Ghostship Aftermath,¥ 37.00,39%,74,11.3h,动作
BloodLust Shadowhunter,¥ 37.00,79%,338,6.5h,动作
Dollhouse,¥ 58.00,51%,139,8.6h,动作
Crea,¥ 48.00,73%,"1,083",12.1h,"动作, 平台游戏"
Dark Shadows - Army of Evil,¥ 30.00,36%,93,6.8h,动作
Danmaku Unlimited 2,¥ 21.00,92%,355,3.9h,"动作, 街机"
Fiesta Online NA,免费开玩,62%,788,18.1h,动作
Battlepillars Gold Edition,¥ 21.00,84%,224,5.3h,动作
BloodRayne Betrayal (Legacy),¥ 70.00,59%,639,6.1h,"动作, 平台游戏"
Mashed,¥ 21.00,81%,475,4.8h,"动作, 街机"
Desert Gunner,¥ 15.00,38%,55,3.5h,动作
A Boy and His Blob,¥ 36.00,83%,220,6.1h,平台游戏
UberSoldier II 狼穴尖兵2,¥ 36.00,77%,522,4.2h,动作
Clans,¥ 15.00,60%,120,3.7h,动作
Homeworld: Deserts of Kharak,¥ 51.25,79%,"7,681",12.6h,动作
Munin,¥ 22.00,82%,805,8.1h,平台游戏
Explodemon,¥ 34.00,65%,60,19.4h,"动作, 平台游戏"
RefleX,¥ 33.00,93%,115,3.1h,"动作, 街机"
Splatter - Zombiecalypse Now,¥ 28.00,89%,"2,077",5.5h,"动作, 街机"
Woolfe - The Red Hood Diaries,¥ 42.00,59%,975,4.0h,"动作, 平台游戏"
Carmageddon Max Pack,¥ 36.00,85%,678,4.7h,"动作, 街机"
Carmageddon 2: Carpocalypse Now,¥ 36.00,86%,552,5.3h,"动作, 街机"
This War of Mine,¥ 76.00,93%,"80,926",15.6h,潜行
SOMA,¥ 108.00,95%,"44,593",8.2h,动作
Future Perfect,¥ 0.00,,,,动作
Fearless Fantasy,¥ 29.00,88%,111,10.0h,动作
Quake Live,¥ 41.00,88%,"4,232",15.3h,动作
Castlevania: Lords of Shadow – Mirror of Fate HD,¥ 48.00,84%,"2,087",7.1h,"动作, 平台游戏"
RollerCoaster Tycoon World™,¥ 12.00,25%,"3,214",10.2h,动作
The Battle of Sol,¥ 36.00,58%,63,3.3h,动作
LOST ORBIT,¥ 40.00,90%,32,5.7h,动作
Stick 'Em Up 2: Paper Adventures,¥ 15.00,71%,107,3.7h,"动作, 平台游戏"
Masterspace,¥ 22.00,27%,128,4.0h,动作
Hyperdimension Neptunia Re;Birth1,¥ 58.00,94%,"10,086",30.2h,动作
Super Chibi Knight,¥ 25.00,87%,400,4.6h,"平台游戏, 动作"
House of the Dying Sun,¥ 68.00,89%,"1,900",2.9h,动作
Spoiler Alert,¥ 15.00,77%,338,3.8h,平台游戏
Nosferatu: The Wrath of Malachi,¥ 3.75,90%,"1,526",3.3h,动作
Jagged Alliance 1: Gold Edition,¥ 36.00,94%,162,73.0h,动作
Soulbringer,¥ 3.75,73%,120,17.8h,动作
Desert Thunder,¥ 3.75,60%,46,13.2h,动作
Eurofighter Typhoon,¥ 3.75,35%,73,8.9h,动作
Incoming + Incoming Forces,¥ 3.75,76%,80,4.4h,"动作, 街机"
Marine Sharpshooter II: Jungle Warfare,¥ 3.75,51%,74,6.5h,动作
CT Special Forces: Fire for Effect,¥ 3.75,62%,107,6.3h,动作
Litil Divil,¥ 3.75,80%,30,10.9h,动作
Munich Bus Simulator,¥ 58.00,60%,320,,动作
Salt and Sanctuary,¥ 60.00,89%,"19,726",15.8h,"动作, 平台游戏"
Rabbit Hole 3D: Steam Edition,¥ 15.00,63%,154,5.0h,动作
Astebreed: Definitive Edition,¥ 70.00,88%,"1,250",5.4h,"街机, 动作"
Antinarkomania,免费开玩,80%,51,12.3h,街机
ALLTYNEX Second,¥ 33.00,85%,88,4.9h,动作
神威,¥ 33.00,92%,144,3.8h,"动作, 街机"
Freddi Fish and Luther's Maze Madness,¥ 21.00,87%,65,3.2h,街机
Lost Squad,¥ 0.00,,,,动作
Majestic Nights,¥ 21.00,54%,53,3.2h,"动作, 潜行"
BeamNG.drive,¥ 68.00,97%,"357,273",65.3h,动作
Magicians & Looters,¥ 29.00,84%,77,3.6h,"动作, 平台游戏"
