排名,游戏名称,性价比得分,归一化时长,修正好评率,正向化价格
1,18 Wheels of Steel: Across America,0.651495,1.000000,90.077187,0.011494
2,X-Plane 10 Global - 64 Bit,0.544519,0.418728,69.949450,1.000000
3,Deep Race: Space,0.524030,0.689929,60.901559,0.000983
4,BeamNG.drive,0.467839,0.576855,96.999492,0.021711
5,AccuRC 2,0.436347,0.524735,85.704724,0.053640
6,Forza Motorsport 极限竞速,0.430109,0.525618,50.004556,0.063218
7,Farming Simulator 15,0.420205,0.501767,91.988064,0.037963
8,Pro Cycling Manager 2017,0.394360,0.480565,67.884987,0.001277
9,Pro Cycling Manager 2015,0.370103,0.448763,58.036492,0.005747
10,American Truck Simulator,0.360354,0.370141,96.998858,0.238889
11,Automation - The Car Company Tycoon Game,0.347887,0.397527,92.989790,0.034483
12,Global ATC Simulator,0.335967,0.395760,61.947361,0.034802
13,BH Trials,0.329019,0.378092,86.397084,0.011175
14,My Summer Car,0.308834,0.344523,93.998387,0.015326
15,GearCity,0.280621,0.307420,88.897208,0.022350
16,The Bus - 城市公交模拟,0.256522,0.282686,72.991362,0.043423
17,VRC PRO,0.252550,0.267668,86.853852,0.038953
18,Redneck Racers,0.241891,0.282686,44.810177,0.003512
19,Bus Simulator 18,0.237430,0.255300,78.989206,0.018838
20,Dream Car Builder,0.226456,0.228799,91.835153,0.011814
21,Automobilista 2,0.210432,0.203180,90.986404,0.037037
22,Ride 2,0.208118,0.204064,85.948330,0.047573
23,Construction Simulator 2015,0.206176,0.212014,78.979873,0.015326
24,City Car Driving,0.204708,0.202297,81.996634,0.055236
25,GI Racing 2.0,0.200836,0.204064,80.569811,0.000000
26,Celaria,0.195091,0.186396,87.930345,0.010536
27,Monster Energy Supercross - The Official Videogame 3,0.192283,0.179329,86.871088,0.047573
28,Stock Car Extreme,0.185566,0.176678,83.729806,0.015326
29,Car Dealer Simulator,0.181799,0.164311,87.982876,0.024601
30,rFactor,0.179154,0.152827,92.770164,0.024904
31,TheoTown,0.177508,0.149293,93.960467,0.013410
32,Virtual Rides 3 - Funfair Simulator,0.173939,0.152827,86.845124,0.029374
33,Bus Simulator 16,0.173738,0.178445,66.986340,0.011814
34,MX vs ATV All Out,0.171174,0.155477,80.923052,0.041188
35,3D PUZZLE - LAST OF CITY,0.169962,0.121025,68.249255,0.216475
36,Transformice,0.169089,0.145760,87.995189,0.000000
37,Eat this!,0.166390,0.192580,32.773585,0.000000
38,Street Legal Racing: Redline v2.3.1,0.165757,0.137809,88.962154,0.009259
39,Crashday Redline Edition,0.165368,0.136926,88.906096,0.012771
40,Notruf 112 | Emergency Call 112,0.164953,0.153710,76.972019,0.018519
41,3D PUZZLE - PORT,0.164511,0.095406,77.485325,0.216475
42,Car Mechanic Simulator 2015,0.158907,0.118375,91.986952,0.024266
43,幻走空中竞速,0.157845,0.124558,87.756192,0.024585
44,NASCAR 25,0.153899,0.137809,71.960939,0.063218
45,MX vs. ATV Supercross Encore,0.153887,0.154594,61.988451,0.026501
46,Bike Offroad Simulator,0.152437,0.123675,73.515723,0.107280
47,Bambino Rally 3,0.149296,0.136926,72.487993,0.003512
48,Offroad Racing - Buggy X ATV X Moto,0.144886,0.141343,62.811321,0.022350
49,Death Roads: Tournament Prologue,0.143469,0.119258,77.885562,0.000000
50,TT Isle of Man: Ride on the Edge 2,0.142188,0.105124,83.878483,0.005907
51,Duck Life 9: The Flock,0.141371,0.106007,82.402850,0.013407
52,Homebrew - Patent Unknown,0.141237,0.125442,70.937408,0.018519
53,Wing Breakers,0.140946,0.126325,70.362632,0.012771
54,Trucks & Trailers,0.138177,0.126325,67.916072,0.001405
55,Jockey Rush,0.137547,0.088339,86.397084,0.022347
56,Garfield Kart - Furious Racing,0.137023,0.083922,87.986789,0.015006
57,How Your Package Gets Delivered,0.135784,0.099823,80.795991,0.000000
58,卡车人生,0.135078,0.135159,56.016068,0.021711
59,Hard Truck Apocalypse / Ex Machina,0.134608,0.091873,82.952870,0.010536
60,Drift86,0.132031,0.063604,90.971140,0.003512
61,Pogo3D,0.131807,0.044170,95.387043,0.010536
62,BallisticNG,0.130967,0.042403,94.921805,0.015964
63,On The Road - The Truck Simulator,0.130960,0.134276,50.056950,0.034483
64,RollingSky2,0.130808,0.043286,94.696587,0.013729
65,Bumpy Grumpy,0.130374,0.065371,89.040881,0.007024
66,Dog Sled Saga,0.128496,0.039753,93.744244,0.010536
67,Disney?Pixar Cars Mater-National Championship,0.128282,0.054770,89.665309,0.024266
68,Bus Driver,0.128054,0.078622,82.942072,0.001405
69,Ciudad Alfombra,0.127978,0.098057,74.608491,0.000000
70,Action Henk,0.127935,0.047703,91.472268,0.015326
71,Circuit Superstars,0.127631,0.063604,85.941434,0.038314
72,Downtown Drift,0.127597,0.075972,83.555818,0.000000
73,Marble Abduction! Patti Hattu,0.127264,0.042403,92.109434,0.015326
74,Roundabout,0.126842,0.038869,92.626119,0.011494
75,Motorama,0.126807,0.138693,39.310882,0.021711
76,Disney?Pixar Cars,0.126182,0.051237,88.923841,0.024266
77,Duality Shift,0.126110,0.080389,80.701707,0.000000
78,Climbey,0.125654,0.043286,90.856490,0.010536
79,汐,0.125264,0.082155,78.927122,0.012133
80,Stunt Paradise,0.125210,0.023852,93.938789,0.010536
81,Disney?Pixar Cars 2: The Video Game,0.125052,0.080389,78.898722,0.024266
82,Crash Wheels,0.123567,0.053887,86.885782,0.007024
83,Road Redemption,0.123446,0.065371,82.989440,0.021711
84,BlazeRush,0.123054,0.047703,87.865691,0.011494
85,Absolute Drift,0.122987,0.043286,88.934621,0.006897
86,梦幻遥控车(Re-Volt),0.122870,0.031802,90.882784,0.012452
87,Goscurry,0.122608,0.028269,91.423298,0.007024
88,REKT! High Octane Stunts,0.122527,0.026502,91.601171,0.008301
89,Extreme Forklifting 2,0.121991,0.048587,87.072540,0.003512
90,Street Racing Syndicate,0.121696,0.052120,85.954123,0.004789
91,Split/Second,0.121212,0.068905,79.940145,0.024266
92,Kyle Simulator,0.121137,0.068021,80.997531,0.001916
93,Formula Truck 2013,0.120235,0.075088,77.506982,0.011494
94,JumpJet Rex,0.120178,0.022085,90.390943,0.011494
95,Isop0dyssey,0.119995,0.031802,89.047896,0.000000
96,Super Arcade Racing,0.119973,0.017668,90.212907,0.027136
97,RC Mini Racers,0.119965,0.036219,88.071843,0.007024
98,Carmageddon 2: Carpocalypse Now,0.119766,0.045936,85.771928,0.011494
99,Slipstream 5000,0.119614,0.036219,87.865737,0.004789
100,Car Mechanic Simulator 2014,0.118846,0.058304,81.973384,0.009259
101,Turn Me On,0.118828,0.080389,74.608491,0.000000
102,Qvadriga,0.117799,0.042403,84.579848,0.024266
103,Low and Furious,0.117757,0.033569,86.849057,0.009259
104,TO THE TOP,0.117705,0.030919,86.812391,0.022350
105,Breaking Fast,0.117672,0.031802,87.030660,0.011494
106,Totally Unbalanced,0.117347,0.053004,82.501048,0.000000
107,Demon Truck,0.116967,0.067138,77.838574,0.006705
108,Carmageddon Max Pack,0.116966,0.040636,84.820990,0.011494
109,SCHROTT: Roguelike Racer,0.116144,0.015901,88.014428,0.016603
110,Ports of Call Classic,0.115951,0.038869,84.553816,0.007024
111,Of Guards And Thieves,0.115830,0.037102,84.971777,0.000000
112,Supermarket Shriek,0.115752,0.046820,82.031993,0.024266
113,Carmageddon: Max Damage,0.115683,0.059187,78.964825,0.017561
114,hoVRboard,0.115677,0.006184,88.729891,0.013091
115,DYSTORIA,0.115216,0.034452,84.335994,0.022350
116,Drive Me to Hell,0.115063,0.007951,88.428658,0.001054
117,DRIFT CE,0.113649,0.070671,73.962919,0.005747
118,Late City Riders,0.113300,0.014134,86.555114,0.000000
119,Duck Life 4 Classic,0.112864,0.026502,84.504450,0.005747
120,Aquadelic GT,0.112847,0.030035,84.042090,0.000000
121,Just Get Through,0.112437,0.031802,83.284975,0.007024
122,Crunch,0.112322,0.037102,82.363881,0.000000
123,ROCKETSROCKETSROCKETS,0.112139,0.038869,81.665844,0.008940
124,MX Nitro: Unleashed,0.111879,0.048587,79.168682,0.011814
125,Team Racing League,0.111846,0.028269,83.263103,0.013410
126,Mashed,0.111631,0.041519,80.786950,0.006705
127,WaveLand,0.111313,0.032686,82.300520,0.007024
128,Come on Baby!,0.111271,0.058304,75.873094,0.015964
129,Super Grav,0.111171,0.022968,83.722939,0.008301
130,Rock of Ages 3: Make & Break,0.110623,0.053004,76.932181,0.015326
131,Under the Sand REDUX - a road trip simulator,0.110197,0.050353,76.944566,0.024266
132,PANZER BALL,0.110177,0.050353,77.643174,0.004215
133,Sledgehammer / Gear Grinder,0.109127,0.035336,80.299561,0.002634
134,Retrowave World,0.108914,0.068021,70.862824,0.013410
135,Unpossible,0.108618,0.022085,82.072197,0.004789
136,Angler's Life,0.108473,0.084806,63.091360,0.015964
137,iO,0.108459,0.033569,80.044260,0.007024
138,The Infinity Road,0.108412,0.050353,76.396226,0.000000
139,KAYAKING,0.108378,0.003534,83.722939,0.007982
140,Event Race,0.108347,0.025618,81.454852,0.000000
141,Glider Island,0.108339,0.005300,83.519364,0.009898
142,RC Cars,0.108316,0.044170,77.766673,0.004789
143,Orb Flight,0.108188,0.028269,80.921034,0.000000
144,Disney?Pixar Cars Toon: Mater's Tall Tales,0.107750,0.037986,78.038915,0.024266
145,Vroom Vroom Valley,0.107529,0.043286,77.485325,0.000000
146,4x4 Dream Race,0.107331,0.121908,28.350854,0.001660
147,Jones On Fire,0.107084,0.029152,79.876218,0.004789
148,封神让我来,0.106915,0.083922,62.700874,0.000000
149,Hero Express,0.106725,0.074205,66.849057,0.007024
150,World of Subways 2 – Berlin Line 7,0.106660,0.049470,74.762289,0.018519
151,Jet Car Stunts,0.106537,0.024735,80.181887,0.004789
152,Angel Express [Tokkyu Tenshi],0.106364,0.044170,76.130279,0.011494
153,Super Indie Karts,0.106354,0.014134,80.773752,0.024266
154,PISTA Motorsport,0.106334,0.037102,77.425894,0.018519
155,Bumper,0.106092,0.051237,74.324634,0.003831
156,Orborun,0.105706,0.043286,76.130279,0.000000
157,Motorcycle Ride: Infinity,0.105615,0.007067,81.454852,0.008301
158,赛博司机,0.105462,0.009717,81.275242,0.000958
159,Planetoid Pioneers,0.105433,0.086572,59.021136,0.022350
160,蒸汽波漂移,0.105357,0.093640,55.554717,0.004151
161,Cyberline Racing,0.104947,0.037986,76.710337,0.001916
162,Squareface,0.104838,0.047703,74.243997,0.007024
163,Happy World,0.104796,0.060071,70.749168,0.000000
164,Dogs Club,0.104790,0.012367,80.445447,0.005747
165,Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,0.104381,0.051237,72.915745,0.008301
166,SinaRun,0.103962,0.030035,77.437005,0.005747
167,One Giant Leap,0.103919,0.014134,79.636792,0.005747
168,Zeke's Peak,0.103756,0.006184,80.109434,0.011175
169,CRAZY DRIVER,0.103655,0.015901,79.329213,0.001916
170,Late Night Drive,0.102614,0.005300,79.567715,0.001916
171,Transporter Truck Simulator,0.102508,0.029152,76.441712,0.009579
172,Led It Rain VR,0.102216,0.030035,76.286349,0.000000
173,moto RKD dash SP,0.102127,0.030919,75.922282,0.007024
174,你开车吗？,0.101432,0.033569,74.740989,0.013410
175,ThunderWheels,0.101372,0.034452,74.595197,0.011175
176,StuntMANIA Reloaded,0.101251,0.030035,75.447846,0.007024
177,Carmageddon TDR 2000,0.101239,0.028269,75.752358,0.006705
178,Race.a.bit,0.101238,0.060954,67.636640,0.001341
179,Crossing Damaged Bridge,0.101192,0.005300,78.565045,0.000983
180,Ultimate Booster Experience,0.101054,0.027385,75.759302,0.007024
181,Vertical Strike Endless Challenge,0.100894,0.027385,75.651963,0.006705
182,Mad Combat Marines,0.100677,0.058304,67.888096,0.009579
183,DRAFTYCAR,0.100565,0.001767,78.169137,0.009259
184,Dude Simulator 3,0.100341,0.054770,68.977093,0.000983
185,RC-AirSim - RC Model Airplane Flight Simulator,0.098923,0.016784,75.694220,0.008940
186,iRobot Factory,0.098282,0.068905,62.233491,0.000000
187,Coffin Dodgers,0.097866,0.047703,68.869555,0.012452
188,Motorcycle Mechanic Simulator 2021,0.097402,0.044170,68.972322,0.024266
189,The Next Penelope,0.096187,0.017668,73.519542,0.013410
190,Swipecart,0.096017,0.045053,68.420991,0.004789
191,Battle Life Online,0.095957,0.099823,39.803235,0.000000
192,Zorg The Typing Warrior,0.095581,0.007951,74.363994,0.001916
193,Autobahn Police Simulator 2,0.095471,0.080389,53.049849,0.024266
194,A Glider's Journey,0.095326,0.012367,73.507608,0.013410
195,Ma3,0.095185,0.030919,70.749168,0.013410
196,Autobahn Police Simulator 3,0.095039,0.070671,57.050101,0.034483
197,Mountain Taxi Driver,0.095013,0.010601,73.568820,0.009579
198,Bicyclism EP,0.094507,0.029152,70.405660,0.018519
199,TransRoad: USA,0.094502,0.080389,52.122804,0.024266
200,Fruit Postal Service,0.094432,0.002650,73.950138,0.000000
201,Cargo delivery,0.094001,0.004417,73.515723,0.001475
202,Gold Hunter,0.093867,0.094523,40.188853,0.029693
203,Apocalypse Truck Simulator,0.093616,0.017668,71.707547,0.013410
204,Super Pixel Racers,0.093241,0.034452,68.564287,0.015964
205,Crash And Burn Racing,0.092574,0.050353,64.345172,0.004789
206,Aqua Moto Racing Utopia,0.092114,0.024735,69.633611,0.013729
207,HaberDashers,0.091903,0.026502,69.517713,0.000000
208,RollerForce,0.091848,0.015901,70.776280,0.010217
209,JDM Tuner Racing,0.091223,0.041519,65.860184,0.001916
210,Drift Horizon Online,0.089791,0.068905,55.040197,0.000958
