游戏名称,价格,好评率,好评人数,平均游玩时长,标签,所属主类
AR-K,¥ 31.00,55%,199,3.5h,"黑色幽默, 冒险, 第三人称, 困难, 指向点击, 反乌托邦, 悬疑, 2.5D, 女性主角, 单人, 推理, 喜剧, 氛围, 仅鼠标, 隐藏物体, 解谜, 复古, 欢乐, 经典, 动态旁白",冒险类; 解谜类
BADLAND: Game of the Year Edition,¥ 36.00,85%,"2,742",7.4h,"独立, 冒险, 2D, 本地合作, 动作, 多人, 平台游戏, 合作, 解谜, 困难, 氛围, 平台解谜, 横向滚屏, 单人, 本地多人, 休闲, 4 人本地, 生存",动作类; 冒险类; 解谜类; 休闲类
Bardbarian,¥ 31.00,90%,772,4.6h,"独立, 塔防, 策略, 休闲, 角色扮演, 动作, 冒险, 动作类 Rogue, 2D, 单人, 轻度 Rogue, 喜剧, 奇幻, 弹幕射击",动作类; 冒险类; 角色扮演类; 策略类; 休闲类
Get Packed: Fully Loaded,¥ 3.08,46%,67,2.2h,"多人, 物理, 破坏, 玩家对战, 教程, 街机, 试验性, 角色自定义, 动作, 3D, 俯视, 卡通风格, 资本主义, 90 年代, 美国, 合作, 本地合作, 本地多人, 在线合作, 单人",动作类
Tumblestone,¥ 78.00,87%,174,11.2h,"独立, 休闲, 策略, 动作, 解谜, 三消, 单人, 本地多人, 4 人本地, 街机, 本地合作, 2D, 合作, 竞技, 多人, 放松, 分屏, 欢乐, 阖家, 手绘",动作类; 策略类; 解谜类; 休闲类
Time Rifters,¥ 36.00,87%,393,14.7h,"动作, 休闲, 独立, 射击, 第一人称, 单人, 第一人称射击, 虚拟现实, 时空旅行, 策略, 关卡编辑, 塔防, 时空操控, 控制器, 解谜, 体素, 科幻, 多人, 合作",动作类; 射击类; 策略类; 解谜类; 休闲类
Claustrophobia: The Downward Struggle,¥ 0.00,38%,75,2.8h,"角色扮演, 策略, 独立, 类 Rogue, 抢先体验",角色扮演类; 策略类
RymdResa,¥ 48.00,71%,223,5.2h,"冒险, 独立, 角色扮演, 探索, 太空, 科幻, 类 Rogue, 2D, 像素图形, 俯视, 轻度 Rogue, 放松, 休闲, 程序生成, 单人, 生存, 设计与插画, 解谜, 制作, 超现实",冒险类; 角色扮演类; 解谜类; 休闲类
DreadOut,¥ 58.00,77%,"4,439",7.5h,"恐怖, 独立, 冒险, 女性主角, 第三人称, 生存恐怖, 单人, 氛围, 灵异, 解谜, 生存, 心理恐怖, 动作, 好评原声音轨, 僵尸, 悬疑, 黑暗, 裸露, 开放世界, 色情内容",动作类; 冒险类; 解谜类
Secrets of Grindea,¥ 48.00,89%,"6,916",22.4h,"冒险, 单人, 多人, 独立, 动作角色扮演, 日系角色扮演, 角色自定义, 合作战役, 角色扮演, 动作冒险, 2D, 欢乐, 像素图形, 俯视, 可爱, 剧情丰富, 动作, 动漫, 砍杀, 奇幻",动作类; 冒险类; 角色扮演类
Arcane Worlds,¥ 42.00,54%,88,2.2h,"独立, 冒险, 动作, 抢先体验, 沙盒, 策略, 开放世界, 单人, 魔法, 上帝模拟",动作类; 冒险类; 策略类
A Mass of Dead,¥ 21.00,51%,43,4.2h,"独立, 动作, 僵尸, 射击, 俯视, 俯视射击",动作类; 射击类
X-Plane 11,¥ 90.00,92%,"18,786",112.7h,"模拟, 飞行, 拟真, 开放世界, 多人, 虚拟现实, 单人, 物理, 第一人称, 沙盒, 氛围, 冒险, 教育, 第三人称, 阖家, 探索, 唯美, 动作, 控制器, 大型多人在线",动作类; 冒险类; 模拟类
Dex,Dex Demo,86%,"2,852",8.0h,"赛博朋克, 角色扮演, 女性主角, 2D, 动作, 横向滚屏, 类银河战士恶魔城, 独立, 冒险, 单人, 科幻, 平台游戏, 开放世界, 氛围, 剧情丰富, 潜行, 裸露, 像素图形, 暴力, 手绘",动作类; 冒险类; 角色扮演类
Block Story™,¥ 22.00,84%,"1,789",20.6h,"角色扮演, 冒险, 开放世界生存制作, 沙盒, 动作, 制作, 开放世界, 独立, 龙, 生存, 建造, 体素, 像素图形, 奇幻, 单人, 第一人称, 动作角色扮演, 第一人称射击, 抢先体验, 合作",动作类; 射击类; 冒险类; 角色扮演类; 模拟类
