排名,游戏名称,性价比得分,归一化时长,修正好评率,正向化价格
1,PomoFarm,0.997320,1.000000,0.958522,0.946388
2,米洛的桌面鱼塘,0.971344,0.973011,0.854595,0.971219
3,The Game of Fourtune,0.964313,0.964489,0.939806,0.748871
4,Shards of Nogard,0.938506,0.938920,0.881942,0.915350
5,我在地球修仙有系统,0.924970,0.927557,0.700596,0.844808
6,龍姬混~日子２,0.878027,0.877841,0.972809,0.844808
7,捕梦猫,0.872223,0.872159,0.913875,0.946388
8,??Gaia's Melody II: ECHOED MEMORIES,0.856717,0.856534,0.945471,0.918172
9,からかい上手の高木さんVR 2学期,0.845230,0.845170,0.890915,0.875847
10,魔界战记 DISGAEA6,0.839307,0.840909,0.632410,0.195824
11,Land Drifters,0.830989,0.830966,0.869100,0.935102
12,Franchise Hockey Manager 8,0.827905,0.828125,0.810117,0.810948
13,Rule the Waves 3,0.792771,0.792614,0.879600,0.624718
14,Lovely Lady RPG,0.790165,0.789773,0.989345,0.833521
15,Catfish Idle Pond,0.790136,0.789773,0.966893,0.946388
16,小猪佩奇：世界大冒险,0.777055,0.776989,0.837984,0.893341
17,Miner Gun Builder,0.772704,0.772727,0.810261,0.915350
18,战棋三国·英雄,0.770038,0.769886,0.857898,0.844808
19,Evil God Korone,0.743322,0.742898,0.938578,0.935102
20,方寸牌局,0.727414,0.727273,0.819572,0.946388
21,Catnight,0.720156,0.720170,0.770500,0.946388
22,Love Flute,0.719093,0.718750,0.878899,0.904063
23,巧可甜恋2,0.712224,0.711648,0.977315,0.703725
24,Labyrinth of Galleria: The Moon Society,0.693411,0.693182,0.819946,0.483634
25,Clown Theft Auto: Woke City,0.686694,0.688920,0.342180,0.991535
26,The Red Exile: Survival Horror,0.674254,0.674716,0.628237,0.946388
27,Devil Tears,0.643877,0.643466,0.832945,0.923815
28,AsteroIdle,0.634895,0.636364,0.392389,0.966140
29,Vengeance of Mr. Peppermint,0.633560,0.633523,0.715128,0.919582
30,Nekotype Keyboard Cat Simulator,0.630101,0.629261,0.976231,0.957675
31,不正经的卡牌传说,0.624893,0.625000,0.670858,0.943284
32,天下霸图,0.581388,0.580966,0.780605,0.870203
33,The Zachtronics Solitaire Collection,0.579173,0.578125,0.979055,0.889955
34,Garfield Lasagna Party,0.554649,0.553977,0.829476,0.754515
35,PC Building Empire,0.534902,0.534091,0.848940,0.873025
36,树莓立方体,0.519709,0.518466,0.953891,0.703725
37,Idle Hero,0.512580,0.512784,0.554794,0.991535
38,Waitventure,0.505354,0.504261,0.892965,0.957675
39,水浒绘卷,0.497903,0.498580,0.418572,0.873025
40,Nuclear Fighter,0.489484,0.488636,0.811438,0.748871
41,Combat Mission Battle for Normandy,0.487869,0.487216,0.761845,0.000000
42,DungeonSweeper,0.484005,0.482955,0.856810,0.861738
43,Tennis Manager 2023,0.483822,0.482955,0.810141,0.889955
44,Castle Crumble,0.482691,0.481534,0.881942,0.926637
45,Toilet Flushing Simulator,0.478560,0.477273,0.908787,0.991535
46,伽尔兰特：我的冒险故事,0.469796,0.468750,0.839457,0.889955
47,Cataclysm: The Last Generation,0.468747,0.467330,0.927239,0.926637
48,Cozy Time,0.467132,0.465909,0.878921,0.966140
49,恋してしまった星の王子 ～制裁院編～,0.457540,0.455966,0.948500,0.703725
50,Idling Gears,0.453675,0.453125,0.701695,0.958804
51,大货车极限竞赛,0.448381,0.447443,0.790212,0.935102
52,Decide 4 God,0.446197,0.444602,0.936726,0.703725
53,番言薯语,0.441915,0.440341,0.925750,0.926665
54,售货机大亨：桌面小世界,0.433735,0.433239,0.670887,0.957675
55,无限投影2,0.428591,0.428977,0.435288,0.957675
56,淑女同萌！-Superior Entelecheia-,0.421742,0.420455,0.839257,0.675508
57,PinBuilder,0.420922,0.420455,0.653650,0.703725
58,动物之灵,0.417738,0.416193,0.886805,0.918172
59,Nonozle,0.413909,0.411932,0.965741,0.957675
60,Fantasy Maiden Wars - DREAM OF THE STRAY DREAMER -,0.404112,0.401989,0.978259,0.647291
61,夜回三,0.403585,0.401989,0.878994,0.619074
62,Tap Tap Builder,0.396080,0.394886,0.789106,0.946388
63,Broken Banners,0.391948,0.390625,0.810359,0.926637
64,Desktop Pomeranian Fantasy,0.389483,0.387784,0.878576,0.966140
65,Taking London,0.389220,0.387784,0.828833,0.966140
66,Dungeon Mori,0.380005,0.377841,0.946782,0.873025
67,人气声优的养成方式,0.379835,0.377841,0.917491,0.943002
68,Fire Truck Simulator,0.377798,0.376420,0.803650,0.991535
69,Virtual Maid Streamer Ramie,0.367213,0.365057,0.925750,0.887133
70,Miraculous: Rise of the Sphinx,0.360916,0.360795,0.519579,0.619074
71,伊苏IX -怪人之夜-,0.358533,0.356534,0.889215,0.015406
72,恋してしまった星の王子 ～誓願院編～,0.357088,0.355114,0.881942,0.703725
73,Tour de France 2022,0.355199,0.353693,0.800689,0.681151
74,三国真龙传,0.353569,0.352273,0.760515,0.937923
75,Voxile,0.353145,0.352273,0.679904,0.748871
76,Rogue Hex,0.352846,0.350852,0.878697,0.794018
77,ReFactory,0.345169,0.343750,0.772593,0.892777
78,Level Up Simulator,0.334879,0.333807,0.698650,0.999774
79,THE SPIRIT LIFT,0.327912,0.325284,0.934195,0.794018
80,我的动物公司,0.327071,0.325284,0.810172,0.946388
81,勒芙特拉的修缮师,0.324694,0.323864,0.642920,0.929458
82,Galacticon,0.322662,0.319602,0.981460,0.946388
83,hololive ERROR,0.317412,0.315341,0.839696,0.904063
84,Ikki Unite,0.315544,0.313920,0.770333,0.796840
85,江湖百异图,0.313019,0.312500,0.570046,0.870203
86,Rift Wizard 2,0.310889,0.308239,0.909334,0.794018
87,Tank Commander: Battlefield,0.308470,0.308239,0.502063,0.966140
88,乾坤掷：镇宝阁推币机,0.307547,0.305398,0.836568,0.935102
89,Merchant of the Six Kingdoms,0.302540,0.299716,0.917417,0.844808
90,世外之地,0.301072,0.298295,0.908926,0.889955
91,風色幻想6:冒險奏鳴,0.288125,0.285511,0.867766,0.918172
92,创业王 CEO,0.286202,0.284091,0.801014,0.841986
93,Monster Energy Supercross - The Official Videogame 6,0.285574,0.284091,0.711094,0.975451
