排名,游戏名称,性价比得分,归一化时长,修正好评率,正向化价格
1,DROPSOL,0.709853,1.000000,1.045369,0.009579
2,Hero Quest - God of Chaos,0.557193,0.659740,1.134027,0.024266
3,Genius! NAZI-GIRL GoePPels-Chan ep2,0.485718,0.558930,1.167533,0.007024
4,Joyfess Ep1: Martin's Secret Recipe,0.375271,0.424446,0.885536,0.011175
5,A Priest Walks Into a Graveyard,0.331738,0.369459,0.980733,0.009579
6,苍之世界：迷途,0.313978,0.060209,6.334324,0.003193
7,Rusty Lines Remastered,0.307418,0.036125,6.334324,0.000000
8,Re[Map],0.304690,0.025043,6.334324,0.000000
9,Back To Life 3,0.303512,0.019821,6.334324,0.006705
10,Depths Unseen,0.302976,0.017690,6.334324,0.000000
11,YUT YUT,0.302590,0.015985,6.334324,0.000000
12,the jester's revenge (Demo),0.301900,0.012894,6.334324,0.000000
13,RuneShroom,0.301223,0.009804,6.334324,0.000000
14,Escape from Spikes,0.301207,0.009697,6.334324,0.000958
15,Mate in Eleven,0.301108,0.009271,6.334324,0.000000
16,Strike Master Apocalypse,0.300947,0.008525,6.334324,0.000000
17,Publisher Tycoon,0.300925,0.008312,6.334324,0.003512
18,The Final Days: I'm Still Alive,0.300787,0.007566,6.334324,0.006705
19,七楼幸存者,0.300758,0.007460,6.334324,0.005747
20,Rolling Ball : Sphere Guider,0.300560,0.006714,6.334324,0.000000
21,Tribloos 3,0.300481,0.006074,6.334324,0.008301
22,Alcatraz Builder,0.300470,0.006074,6.334324,0.006705
23,The Chronicles of King Arthur: Episode 2 - Knights of the Round Table,0.300336,0.005222,6.334324,0.013410
24,HEGGO/鸡蛋英雄,0.300312,0.005541,6.334324,0.000000
25,Path to Knighthood,0.300307,0.005222,6.334324,0.009259
26,Fancy Slingshot VR,0.300280,0.005328,6.334324,0.001916
27,Blightfell,0.300245,0.005222,6.334324,0.000000
28,Cheaters Blackjack 21,0.300194,0.004795,6.334324,0.005747
29,Claude Monet - The Water Lily obsession,0.300187,0.004795,6.334324,0.004789
30,Sublime element,0.300156,0.004689,6.334324,0.003512
31,DiscStorm,0.300153,0.004369,6.334324,0.012771
32,Duskless: The Clockwork Army,0.300149,0.004476,6.334324,0.008940
33,Boaty Tanks 2,0.300135,0.004263,6.334324,0.013410
34,Crystal Cosmos,0.300133,0.004476,6.334324,0.006705
35,EOS-503,0.300133,0.004689,6.334324,0.000000
36,Royal Romances: The Power of Chosen One Collector's Edition,0.300115,0.004263,6.334324,0.010536
37,Pulse Shift,0.300095,0.004156,6.334324,0.010856
38,101st Airborne in Normandy,0.300069,0.004156,6.334324,0.007024
39,Passcode Breaker: The Day Before,0.300067,0.004263,6.334324,0.003512
40,PolyLumina,0.300066,0.004369,6.334324,0.000000
41,The Thin Silence,0.300057,0.003943,6.334324,0.011814
42,Alcyone: The Last City,0.300038,0.003623,6.334324,0.018519
43,When It Hits the Fan,0.300033,0.003836,6.334324,0.011494
44,Gravity Shot,0.300015,0.003836,6.334324,0.008940
45,SPORT1 Live : Duel,0.300009,0.003943,6.334324,0.004789
46,The Odyssey,0.300000,0.003836,6.334324,0.006705
47,Cthulhu's Catharsis,0.299998,0.003517,6.334324,0.015964
48,Anmynor Puzzles,0.299988,0.003623,6.334324,0.011494
49,Carnival in the hut,0.299983,0.003943,6.334324,0.000958
50,Grim Facade: Hidden Sins Collector's Edition,0.299981,0.003730,6.334324,0.007280
51,??,0.299968,0.003517,6.334324,0.011814
52,Hidden Expedition: Dawn of Prosperity Collector's Edition,0.299959,0.003623,6.334324,0.007280
53,Atomic Butcher: Homo Metabolicus,0.299944,0.003410,6.334324,0.011494
54,Escape Game Cake,0.299898,0.003410,6.334324,0.004789
55,Revenge of the Spirit: Rite of Resurrection,0.299884,0.003197,6.334324,0.009259
56,Fruit Factory,0.299847,0.002984,6.334324,0.010217
57,Destroyer,0.299825,0.002771,6.334324,0.013410
58,Wisp Child,0.299817,0.002558,6.334324,0.018519
59,Holodaze,0.299809,0.002984,6.334324,0.004789
60,Xon,0.299803,0.002877,6.334324,0.007024
61,Pan-Dimensional Conga Combat,0.299780,0.002771,6.334324,0.007024
62,One Life: Parkour Project,0.299750,0.002664,6.334324,0.005747
63,Machinations: Fog of War,0.299736,0.002558,6.334324,0.007024
64,VilleTown,0.299734,0.002558,6.334324,0.006705
65,Day of the Trumplings,0.299714,0.002451,6.334324,0.007024
66,Super Lemonade Factory,0.299680,0.002451,6.334324,0.001916
67,Zombie Trigger,0.299677,0.002344,6.334324,0.004789
68,Forgotten,0.299669,0.002344,6.334324,0.003512
69,Retro Revengers,0.299649,0.001918,6.334324,0.013410
70,Push The Crate: Remastered Edition,0.299603,0.002025,6.334324,0.003512
71,Dead On Duty,0.299598,0.001812,6.334324,0.009259
72,Sunrise Of The Time: End Of Blue,0.299592,0.002025,6.334324,0.001916
73,我是大房东,0.299579,0.002025,6.334324,0.000000
74,Balloon Chair Death Match,0.299574,0.001812,6.334324,0.005747
75,Another Dawn,0.299572,0.001279,6.334324,0.021073
76,Go Ahead,0.299534,0.001598,6.334324,0.006383
77,Lost in Loss,0.299527,0.001598,6.334324,0.005364
78,Kingdom Elemental,0.299524,0.001598,6.334324,0.004789
79,金牌健美教练,0.299524,0.001598,6.334324,0.004789
80,The Last Stand at Camp Zombie,0.299517,0.001492,6.334324,0.007024
81,Attack Of The Retro Bots,0.299515,0.001598,6.334324,0.003512
82,Armor Clash VR,0.299515,0.001492,6.334324,0.006705
83,Whitetail Challenge,0.299508,0.001492,6.334324,0.005747
84,Playthings: VR Music Vacation,0.299504,0.001598,6.334324,0.001916
85,Block Wave VR,0.299497,0.001279,6.334324,0.010536
86,Los Pingheros,0.299488,0.001279,6.334324,0.009259
87,幸存者之地,0.299473,0.001279,6.334324,0.007024
88,Awesome Obstacle Challenge,0.299471,0.001172,6.334324,0.009898
89,Backrooms: Lost Place,0.299451,0.001172,6.334324,0.007024
90,Reflector Rhythm Master,0.299443,0.001172,6.334324,0.005747
91,Tuna The Cat,0.299428,0.001172,6.334324,0.003512
92,"""Ta""",0.299417,0.001172,6.334324,0.001916
93,America's Retribution Term 2,0.299416,0.000959,6.334324,0.008301
94,Feeble Light,0.299408,0.000959,6.334324,0.007024
95,The Great Jitters: Pudding Panic,0.299384,0.000853,6.334324,0.006705
96,Prison Simulator VR,0.299343,0.000426,6.334324,0.013410
97,SRX,0.299310,0.000320,6.334324,0.011814
98,Desert Race Adventures,0.299308,0.000426,6.334324,0.008301
99,骰子牛排的亡灵,0.299305,0.000533,6.334324,0.004789
100,Silhouette: Chapter One,0.299295,0.000639,6.334324,0.000000
101,DragonBlast VR,0.299275,0.000320,6.334324,0.006705
102,Inori's House,0.299265,0.000426,6.334324,0.001916
103,Soccer Kid,0.299264,0.000107,6.334324,0.011494
104,马尔代夫之梦,0.299247,0.000213,6.334324,0.005747
105,Intentional Bugs,0.299244,0.000320,6.334324,0.002072
106,Evil Superhero Simulator,0.299240,0.000213,6.334324,0.004789
107,ClickRaid2,0.298992,0.335678,0.683927,0.013410
108,IT Clicker: Dinosaur in the Code World,0.293862,0.089408,5.513887,0.001916
109,Vision of Aurora Borealis,0.290199,0.322890,0.821636,0.005747
110,Heroes from the Past: Joan of Arc,0.283423,0.195332,3.970958,0.013410
111,紧急讯息,0.276417,0.029518,5.513887,0.001916
112,Clicker Astro Planet,0.275653,0.026215,5.513887,0.004789
113,泪之轨迹,0.274117,0.118073,4.723378,0.011494
114,Battle Siege Royale,0.273991,0.019075,5.513887,0.000000
115,Midnight Mysteries: Witches of Abraham - Collector's Edition,0.273967,0.018862,5.513887,0.003592
116,Reformpunk重組叛客,0.273779,0.018116,5.513887,0.000000
117,Grave Mania: Pandemic Pandemonium,0.273564,0.016731,5.513887,0.013410
118,Mind Trap,0.273452,0.016624,5.513887,0.000000
119,Off Course,0.273105,0.015026,5.513887,0.000000
